id,root,number,sense,salish,nicodemus,symbol,english,grammar,crossref,variant,cognate,editnote,userId,createdAt,updatedAt
"413","'c's'","0","2","'c'es+p'","'ts'esp'","''","'annihilate, consume, destroy.'","'stem vt.'","''","''","null","null","1","'2020-08-14T20:51:55.211+00:00'","'2020-08-14T20:51:55.211+00:00'"
"414","'c's'","0","3","'c'es+p'","'ts'esp'","''","'gone (It is all...). (lit. It went away piece by piece)'","'adj.'","''","':'","null","null","1","'2020-08-14T20:51:55.216+00:00'","'2020-08-14T20:51:55.216+00:00'"
"415","'c's'","0","4","'c's+c's=qín'+n''","'ts'sts'sqi'n'n'","'//'","'[probably same root] catbird.'","'n.'","''","''","null","null","1","'2020-08-14T20:51:55.22+00:00'","'2020-08-14T20:51:55.22+00:00'"
"416","'c's'","0","5","'hn+c's+p+nún?t?s'","'hnts'spnunts'","'?'","'deplete. (lit. He succeeded in emptying it)'","'vt.'","''","''","null","null","1","'2020-08-14T20:51:55.229+00:00'","'2020-08-14T20:51:55.229+00:00'"
"417","'c's'","0","6","'hn+c's+p+núm?t?m'","'hnts'spnumtm'","''","'empty. (lit. It (ie. bag) was emptied)'","'vi.'","''","''","null","null","1","'2020-08-14T20:51:55.241+00:00'","'2020-08-14T20:51:55.241+00:00'"
"418","'c's'","0","7","'hn+c's+p=úl'mx??st?m'","'hnts'spu'lmkhwstm'","''","'devastate. (lit. The land was deprived of inhabitants)'","'vi.'","''","''","null","null","1","'2020-08-14T20:51:55.251+00:00'","'2020-08-14T20:51:55.251+00:00'"
"419","'c'sl'","0","1","'s+c'sl'=úse?'","'sts's'luse''","'?'","'hail.'","'n.'","''","''","null","null","1","'2020-08-14T20:51:55.256+00:00'","'2020-08-14T20:51:55.256+00:00'"
"420","'c'?t'","0","1","'s+c'i?t'","'sts'isht'","'?'","'brother?in?law.'","'n.'","''","''","null","null","1","'2020-08-14T20:51:55.263+00:00'","'2020-08-14T20:51:55.263+00:00'"
"421","'c'wn'","0","1","'s+c'uwe·ní'","'sts'uweeni'","'?'","'giant. (lit. big?foot)'","'n.'","''","''","null","null","1","'2020-08-14T20:51:55.271+00:00'","'2020-08-14T20:51:55.271+00:00'"
"422","'c'wn'","0","2","'s+c'uwe·ní he t+t'míx?'","'sts'uweeni he tt'mikhw'","'§'","'dinosaur. (lit. It is a giant one who is an animal)'","'n.'","''","''","null","null","1","'2020-08-14T20:51:55.275+00:00'","'2020-08-14T20:51:55.275+00:00'"
"423","'c'w''","0","1","'c'aw''","'ts'a'w'","'?'","'boring, dry, soaked, washed out.'","'stem adj.'","''","':'","null","null","1","'2020-08-14T20:51:55.285+00:00'","'2020-08-14T20:51:55.285+00:00'"
"424","'c'w''","0","2","'c'á?aw''","'ts'a'a'w'","''","'dilute, thin out. (lit. It was washed)'","'v.'","''","''","null","null","1","'2020-08-14T20:51:55.29+00:00'","'2020-08-14T20:51:55.29+00:00'"
"425","'c'w''","0","3","'c'áw'+c'aw'+t'","'ts'a'wts'a'wt'","''","'insipid, stale (It is stale...).'","'adj.'","''","':'","null","null","1","'2020-08-14T20:51:55.301+00:00'","'2020-08-14T20:51:55.301+00:00'"
"426","'c'w''","0","4","'c'áw'+emn'","'ts'a'wemn'","''","'detergent. (lit. a cleansing liquid)'","'n.'","''","''","null","null","1","'2020-08-14T20:51:55.305+00:00'","'2020-08-14T20:51:55.305+00:00'"
"427","'c'w''","0","5","'c'áw'=s+m'","'ts'a'wsm'","'//'","'washed (He...his face).'","'vt.'","''","''","null","null","1","'2020-08-14T20:51:55.312+00:00'","'2020-08-14T20:51:55.312+00:00'"
"428","'c'w''","0","6","'c'áw'+c'aw'=s+m'","'ts'a'wts'a'wsm'","''","'washed (They...their faces).'","'vt., n.'","''","''","null","null","1","'2020-08-14T20:51:55.319+00:00'","'2020-08-14T20:51:55.319+00:00'"
"429","'c'w''","0","7","'c'áw'=s+n'","'ts'a'wsn'","''","'soap. (lit. means of washing face)'","'n.'","''","''","null","null","1","'2020-08-14T20:51:55.323+00:00'","'2020-08-14T20:51:55.323+00:00'"
"430","'c'w''","0","8","'hn+c'á?=us+n'","'hnts'a'usn'","''","'basin, washbowl. (lit. means of washing the face)'","'n.'","''","''","null","null","1","'2020-08-14T20:51:55.33+00:00'","'2020-08-14T20:51:55.33+00:00'"
"431","'c'w''","0","9","'hn+c'áw'+c'aw'=cn'","'hnts'a'wts'a'wtsn'","''","'cliche. (lit. He speaks word that are washed up, insipid)'","'n.'","''","''","null","null","1","'2020-08-14T20:51:55.336+00:00'","'2020-08-14T20:51:55.336+00:00'"
"432","'c'w''","0","10","'i t+c'áw'=qn+m?'","'itts'a'wqnmsh'","''","'He is washing his hair (lit. He is shampooing).'","'vt.'","''","''","null","null","1","'2020-08-14T20:51:55.349+00:00'","'2020-08-14T20:51:55.349+00:00'"
"433","'c'w''","0","11","'a+can+c'áw'+c'aw'=qs+t+m'","'atsants'a'wts'a'wqstm'","''","'bureau, chest (of drawers), dresser.'","'n.'","''","''","null","null","1","'2020-08-14T20:51:55.357+00:00'","'2020-08-14T20:51:55.357+00:00'"
"434","'c'w''","0","12","'s+n+c[']aw'+?+qap=í?c'e?'","'sntsa'w'?qapi?ts'e''","'§'","'dish washing.'","'n.'","''","''","null","null","1","'2020-08-14T20:51:55.363+00:00'","'2020-08-14T20:51:55.363+00:00'"
"435","'c'w'q'","0","1","'c'aw'q'","'ts'a'wq'","'?'","'extract (a solid object), pull out (a solid object), (to extract a solid object as nail out of board).'","'stem vt.'","''","''","null","null","1","'2020-08-14T20:51:55.379+00:00'","'2020-08-14T20:51:55.379+00:00'"
"436","'c'w'q'","0","2","'c'ow'q=ín+n'","'ts'o'wqinn'","'//'","'corkscrew. (lit. spiral shaped device for drawing corks from bottles)'","'n.'","''","''","null","null","1","'2020-08-14T20:51:55.397+00:00'","'2020-08-14T20:51:55.397+00:00'"
"437","'c'w'q'","0","3","'c'áw'q?nt?s'","'ts'a'wqnts'","'?'","'nail (He pulled out the...), pulled (He...out the nail).'","'n., vt.'","''","''","null","null","1","'2020-08-14T20:51:55.408+00:00'","'2020-08-14T20:51:55.408+00:00'"
"438","'c'w'q'","0","4","'hn+c'ow'+c'ow'q=íns?nt?n'","'hnts'o'wts'o'wqinsntn'","''","'teeth (his...were extracted).'","'n.'","''","''","null","null","1","'2020-08-14T20:51:55.413+00:00'","'2020-08-14T20:51:55.413+00:00'"
"439","'c'x?'","1","1","'hn+c'éx?+t'","'hnts'ekhut'","'?'","'channel, creek, stream.'","'n.'","'[xref cx?]'","''","null","null","1","'2020-08-14T20:51:55.421+00:00'","'2020-08-14T20:51:55.421+00:00'"
"440","'c'x?'","2","1","'c'ix?'","'ts'ikhw'","'?'","'to prepare chips by peeling and tying.'","''","''","''","null","null","1","'2020-08-14T20:51:55.427+00:00'","'2020-08-14T20:51:55.427+00:00'"
"441","'c'x?'","1","1","'c'ax?'","'ts'aqh'","'?'","'fry.'","'stem vt.'","''","''","null","null","1","'2020-08-14T20:51:55.441+00:00'","'2020-08-14T20:51:55.441+00:00'"
"442","'c'x?'","1","2","'s+c'ax?'","'sts'aqh'","''","'meat (fried...), steak.'","'n.'","''","''","null","null","1","'2020-08-14T20:51:55.453+00:00'","'2020-08-14T20:51:55.453+00:00'"
"443","'c'x?'","1","3","'c'áx??n'","'ts'aqhn'","'?'","'fried (I...the meat).'","'vt., n.'","''","''","null","null","1","'2020-08-14T20:51:55.457+00:00'","'2020-08-14T20:51:55.457+00:00'"
"444","'c'x?'","2","1","'s+c'+c'x?=í?st'","'sts'ts'qhi'st'","''","'gravel.'","'n.'","''","''","null","null","1","'2020-08-14T20:51:55.464+00:00'","'2020-08-14T20:51:55.464+00:00'"
"445","'c'x??'","1","1","'c'ax??'","'ts'aqhw'","'?'","'acquiesce, choose, guilty, voluntarily (to do...). (responsible)'","'stem vi., vt., adj., adv.'","''","''","null","null","1","'2020-08-14T20:51:55.473+00:00'","'2020-08-14T20:51:55.473+00:00'"
"446","'c'x??'","1","2","'c'áx??+m'","'ts'aqhum'","''","'betroth, devoted. (lit. He promised solemnly, H/s vowed, h/s promised marriage)'","'vt., vi.'","''","''","null","null","1","'2020-08-14T20:51:55.48+00:00'","'2020-08-14T20:51:55.48+00:00'"
"447","'c'x??'","1","3","'s+c'ax??+m'","'sts'aqhum'","''","'betrothal, bond, commitment, obligation, promising.'","'n.'","''","''","null","null","1","'2020-08-14T20:51:55.486+00:00'","'2020-08-14T20:51:55.486+00:00'"
"448","'c'x??'","1","4","'c'áx??+c'ux??+n'","'ts'aqhwts'uqhwn'","''","'admonish, advise, counsel. (lit. Give good counsel)'","'vt.'","''","''","null","null","1","'2020-08-14T20:51:55.49+00:00'","'2020-08-14T20:51:55.49+00:00'"
"449","'c'x??'","1","5","'s+c'á·x??+c'ux??+n'","'sts'aaqhwts'uqhwn'","''","'counsel. (lit. giving advice or guidance)'","'n.'","''","''","null","null","1","'2020-08-14T20:51:55.496+00:00'","'2020-08-14T20:51:55.496+00:00'"
"450","'c'x??'","1","6","'s+c'áx??+c'ux??+m'","'sts'aqhwts'uqhum'","''","'advice.'","'n.'","''","''","null","null","1","'2020-08-14T20:51:55.503+00:00'","'2020-08-14T20:51:55.503+00:00'"
"451","'c'x??'","1","7","'sya·+c'áx??+m'","'syaats'aqhum'","''","'devotee (lit. One who has vowed to do a specific duty).'","'n.'","''","''","null","null","1","'2020-08-14T20:51:55.507+00:00'","'2020-08-14T20:51:55.507+00:00'"
"452","'c'x??'","1","8","'sya·+c'áx??+c'ux??+n'","'syaats'aqhwts'uqhwn'","''","'counselor. (lit. One who gives advice)'","'n.'","''","''","null","null","1","'2020-08-14T20:51:55.515+00:00'","'2020-08-14T20:51:55.515+00:00'"
"453","'c'x??'","1","9","'i?y+t+c'áx??'","'iytts'aqhw'","''","'You did it willingly, on purpose.'","'v.'","''","''","null","null","1","'2020-08-14T20:51:55.53+00:00'","'2020-08-14T20:51:55.53+00:00'"
"454","'c'x??'","1","10","'hiy+t+c'áx??'","'hiytts'aqhw'","''","'deliberate. (lit. It was done deliber­ately)'","'vt.'","''","''","null","null","1","'2020-08-14T20:51:55.547+00:00'","'2020-08-14T20:51:55.547+00:00'"
